Организация
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Кировскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Парк 300-летия Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Центр комплексного благоустройства»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Красногвардейскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Жилищное агентство Пушкинского района Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Жилищное агентство Петроградского района Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Централизованная бухгалтерия администрации Невского района Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Курортному району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Центр информационного сопровождения»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Детский городской сурдологический центр»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Хоспис № 2»
Санкт-Петербургское государственное казенное учреждение «Центр организации социального обслуживания»
Санкт-Петербургское государственное казенное учреждение «Дирекция мелиоративных систем, обеспечения безопасности гидротехнических сооружений и охраны окружающей среды Санкт-Петербурга «Ленводхоз»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Приморскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Курортный лесопарк»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Петроградскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Централизованная бухгалтерия администрации Московского района Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Детский туберкулезный санаторий «Дружба»
Санкт-Петербургское государственное казенное учреждение «Центр обеспечения мероприятий гражданской защиты»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Хоспис № 3»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Городской центр медицинской профилактики»
Санкт-Петербургское государственное казенное учреждение здравоохранения особого типа Медицинский центр мобилизационных резервов «Резерв»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Пушкинскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Поисково-спасательная служба Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Технический центр противопожарной службы Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Психоневрологический дом ребенка № 6»
Санкт-Петербургское государственное казенное учреждение «Централизованная бухгалтерия администрации Приморского района Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Красносельскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Жилищное агентство Петродворцового района Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Детский туберкулезный санаторий «Жемчужина»
Санкт-Петербургское государственное казенное учреждение «Управление заказчика по строительству и капитальному ремонту объектов инженерно-энергетического комплекса»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Адмиралтейскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Выборгскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Центр учета и социального обслуживания граждан Российской Федерации без определенного места жительства»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Диагностический центр (медико-генетический)»
Санкт-Петербургское государственное казенное учреждение «Жилищное агентство Курортного района Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд имени князя А.Д.Львова противопожарной службы Санкт-Петербурга по Петродворцовому району Санкт-Петербурга»
Санкт-Петербургское государственное казённое учреждение здравоохранения «Городской центр восстановительного лечения детей с психоневрологическими нарушениями»
Санкт-Петербургское государственное казенное учреждение здравоохранения «Центр восстановительного лечения «Детская психиатрия» имени С.С. Мнухина»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Невскому району Санкт-Петербурга»
Санкт-Петербургское государственное казенное учреждение «Пожарно-спасательный отряд противопожарной службы Санкт-Петербурга по Московскому району Санкт-Петербурга»

